,Bath,Bedroom,CarPort,Closet,Dining,Entry,Garage,Kitchen,LivingRoom,Outdoor,Room,Storage,Utility,accuracy,macro avg,weighted avg
precision,0.9647451167222487,0.49789177793394235,0.0,0.3939393939393939,0.36470588235294116,0.5028301886792453,0.0,0.9559270516717325,0.6673728813559322,0.3687600644122383,0.125,0.2,0.7837837837837838,0.5619749345820135,0.4480735492962661,0.5683733417742821
recall,0.9323204419889503,0.5833676410045286,0.0,0.029017857142857144,0.1,0.2961111111111111,0.0,0.9339272457312546,0.22859216255442671,0.9883470004315926,0.004615384615384616,0.0033783783783783786,0.6460396039603961,0.5619749345820135,0.36505514053222154,0.5619749345820135
f1-score,0.9482556778272068,0.5372511848341233,0.0,0.05405405405405406,0.15696202531645567,0.37272727272727274,0.0,0.944799098760796,0.34054054054054056,0.5371173918142372,0.008902077151335314,0.006644518272425249,0.7082767978290366,0.5619749345820135,0.35504081839442175,0.5105955233721403
support,2172.0,2429.0,91.0,896.0,310.0,1800.0,136.0,1347.0,1378.0,2317.0,650.0,592.0,404.0,0.5619749345820135,14522.0,14522.0
