,Bath,Bedroom,CarPort,Closet,Dining,Entry,Garage,Kitchen,LivingRoom,Outdoor,Room,Storage,Utility,accuracy,macro avg,weighted avg
precision,0.9606557377049181,0.7875087229588277,0.7547169811320755,0.7952586206896551,0.7345454545454545,0.8905524006195147,0.7264957264957265,0.9684447783621337,0.7804878048780488,0.9472140762463344,0.46153846153846156,0.6937269372693727,0.8428184281842819,0.8641371711885415,0.7956895485096005,0.8511233833924656
recall,0.937814357567444,0.9412010008340284,0.47619047619047616,0.8092105263157895,0.7062937062937062,0.9504132231404959,0.6854838709677419,0.9450146627565983,0.891566265060241,0.9596774193548387,0.047244094488188976,0.6416382252559727,0.6957494407158836,0.8641371711885415,0.7451920976108772,0.8641371711885415
f1-score,0.9490976399814901,0.8575227963525835,0.5839416058394161,0.8021739130434783,0.7201426024955437,0.9195095948827292,0.7053941908713692,0.9565862708719852,0.8323374340949034,0.953405017921147,0.08571428571428572,0.6666666666666666,0.7622549019607843,0.8641371711885415,0.7534420708227986,0.848172612175627
support,2187.0,2398.0,84.0,912.0,286.0,1815.0,124.0,1364.0,1328.0,2356.0,635.0,586.0,447.0,0.8641371711885415,14522.0,14522.0
