,Bath,Bedroom,CarPort,Closet,Dining,Entry,Garage,Kitchen,LivingRoom,Outdoor,Room,Storage,Utility,accuracy,macro avg,weighted avg
precision,0.4557501183151917,0.46308169596690796,0.14705882352941177,0.30179445350734097,1.0,0.9071803852889667,0.42857142857142855,0.8674101610904585,0.5650485436893203,0.8924914675767918,0.3333333333333333,0.6,0.8235294117647058,0.5077812973419639,0.5988653709718352,0.6437189293475196
recall,0.8806584362139918,0.9336947456213511,0.11904761904761904,0.6085526315789473,0.017482517482517484,0.28539944903581266,0.024193548387096774,0.5131964809384164,0.6573795180722891,0.22198641765704585,0.0031496062992125984,0.010238907849829351,0.03131991051454139,0.5077812973419639,0.3312538298998977,0.5077812973419639
f1-score,0.6006549196943708,0.619106871284391,0.13157894736842105,0.4034896401308616,0.03436426116838488,0.43419949706621963,0.04580152671755725,0.6448641179180101,0.6077271145144448,0.3555404486743711,0.006240249609984399,0.020134228187919462,0.06034482758620689,0.5077812973419639,0.3049266653785494,0.45089590562015136
support,2187.0,2398.0,84.0,912.0,286.0,1815.0,124.0,1364.0,1328.0,2356.0,635.0,586.0,447.0,0.5077812973419639,14522.0,14522.0
