,Bath,Bedroom,CarPort,Closet,Dining,Entry,Garage,Kitchen,LivingRoom,Outdoor,Room,Storage,Utility,accuracy,macro avg,weighted avg
precision,0.7330434782608696,0.413589364844904,0.125,0.6204724409448819,0.8025210084033614,0.7771051183269125,0.375,0.6860294117647059,0.7276995305164319,0.552998379254457,0.17647058823529413,0.5581395348837209,0.4945054945054945,0.586489464261121,0.5417364884570026,0.6006718682602018
recall,0.38545953360768176,0.700583819849875,0.023809523809523808,0.43201754385964913,0.6678321678321678,0.7779614325068871,0.04838709677419355,0.6840175953079178,0.7003012048192772,0.7241086587436333,0.03307086614173228,0.45051194539249145,0.30201342281879195,0.586489464261121,0.45615960088183244,0.586489464261121
f1-score,0.50524423134552,0.5201238390092879,0.04,0.5093729799612152,0.7290076335877863,0.7775330396475771,0.0857142857142857,0.6850220264317181,0.713737528779739,0.6270906083440544,0.055702917771883284,0.4985835694050992,0.375,0.586489464261121,0.4709332815383205,0.5719106706517055
support,2187.0,2398.0,84.0,912.0,286.0,1815.0,124.0,1364.0,1328.0,2356.0,635.0,586.0,447.0,0.586489464261121,14522.0,14522.0
