,Bath,Bedroom,CarPort,Closet,Dining,Entry,Garage,Kitchen,LivingRoom,Outdoor,Room,Storage,Utility,accuracy,macro avg,weighted avg
precision,0.4398656215005599,0.4654699049630412,0.30952380952380953,0.2893470790378007,0.0,0.8571428571428571,0.5,0.8698296836982968,0.5192878338278932,0.913109756097561,0.125,0.25,0.78125,0.5042693843823165,0.48614050352244764,0.5913940252977296
recall,0.8980338363054412,0.9190992493744787,0.15476190476190477,0.4616228070175439,0.0,0.27107438016528923,0.03225806451612903,0.5241935483870968,0.6588855421686747,0.25424448217317486,0.0015748031496062992,0.017064846416382253,0.05592841163310962,0.5042693843823165,0.3268262981591408,0.5042693843823165
f1-score,0.5904990980156344,0.6179728024674049,0.20634920634920637,0.3557245458386143,0.0,0.4118878191712013,0.06060606060606061,0.6541628545288197,0.5808164619980086,0.397742363877822,0.0031104199066874032,0.031948881789137386,0.10438413361169104,0.5042693843823165,0.3088618960123299,0.45022767136940384
support,2187.0,2398.0,84.0,912.0,286.0,1815.0,124.0,1364.0,1328.0,2356.0,635.0,586.0,447.0,0.5042693843823165,14522.0,14522.0
