,Bath,Bedroom,CarPort,Closet,Dining,Entry,Garage,Kitchen,LivingRoom,Outdoor,Room,Storage,Utility,accuracy,macro avg,weighted avg
precision,0.5181818181818182,0.4574681848626926,0.42857142857142855,0.622895622895623,0.8208333333333333,0.7724324324324324,1.0,0.7133956386292835,0.7266355140186916,0.5304553518628031,0.3389830508474576,0.5540838852097131,0.5136986301369864,0.5862140201074232,0.6152026839217124,0.5889301373317427
recall,0.49519890260631,0.5696413678065054,0.03571428571428571,0.4057017543859649,0.6888111888111889,0.78732782369146,0.008064516129032258,0.6715542521994134,0.7025602409638554,0.7614601018675722,0.031496062992125984,0.4283276450511945,0.33557046979865773,0.5862140201074232,0.45549450861673585,0.5862140201074232
f1-score,0.5064297404722937,0.5074294205052006,0.06593406593406594,0.49136786188579024,0.7490494296577949,0.7798090040927694,0.016,0.6918429003021148,0.714395099540582,0.6253049843150924,0.057636887608069155,0.4831568816169394,0.40595399188092024,0.5862140201074232,0.46879309752397175,0.5699221020211364
support,2187.0,2398.0,84.0,912.0,286.0,1815.0,124.0,1364.0,1328.0,2356.0,635.0,586.0,447.0,0.5862140201074232,14522.0,14522.0
