,Bath,Bedroom,CarPort,Closet,Dining,Entry,Garage,Kitchen,LivingRoom,Outdoor,Room,Storage,Utility,accuracy,macro avg,weighted avg
precision,0.9642365887207703,0.8251622206200433,0.7931034482758621,0.8918617614269788,0.8794326241134752,0.929973474801061,0.6793893129770993,0.9694029850746269,0.8469601677148847,0.9668345927791772,0.48633879781420764,0.7295492487479132,0.8733509234828496,0.8951246384795483,0.8335073958883807,0.8843690150706058
recall,0.9615912208504801,0.9545454545454546,0.5476190476190477,0.8771929824561403,0.8671328671328671,0.965840220385675,0.717741935483871,0.9523460410557185,0.9126506024096386,0.9775042444821732,0.14015748031496064,0.7457337883959044,0.7404921700223713,0.8951246384795483,0.7969652350118696,0.8951246384795483
f1-score,0.9629120879120879,0.8851508120649653,0.647887323943662,0.884466556108347,0.8732394366197184,0.9475675675675675,0.6980392156862745,0.9607988165680473,0.878579195360638,0.9721401435204728,0.2176039119804401,0.7375527426160339,0.8014527845036319,0.8951246384795483,0.8051838918809142,0.8843102614004098
support,2187.0,2398.0,84.0,912.0,286.0,1815.0,124.0,1364.0,1328.0,2356.0,635.0,586.0,447.0,0.8951246384795483,14522.0,14522.0
