,Bath,Bedroom,CarPort,Closet,Dining,Entry,Garage,Kitchen,LivingRoom,Outdoor,Room,Storage,Utility,accuracy,macro avg,weighted avg
precision,0.9587482219061166,0.5681362725450901,0.0,0.3530751708428246,0.36363636363636365,0.5303867403314917,0.0,0.9545454545454546,0.6745562130177515,0.3758313057583131,0.09523809523809523,0.0,0.78,0.5702382591929487,0.4349349106016539,0.5743172448775972
recall,0.9245541838134431,0.47289407839866554,0.0,0.3399122807017544,0.08391608391608392,0.31735537190082647,0.0,0.9391495601173021,0.2575301204819277,0.983446519524618,0.0031496062992125984,0.0,0.610738255033557,0.5702382591929487,0.37943431232210695,0.5702382591929487
f1-score,0.9413407821229051,0.5161583978152025,0.0,0.34636871508379885,0.13636363636363638,0.3971044467425026,0.0,0.9467849223946785,0.3727520435967302,0.5438328834643822,0.006097560975609756,0.0,0.685069008782936,0.5702382591929487,0.3762978767186447,0.5336654997306214
support,2187.0,2398.0,84.0,912.0,286.0,1815.0,124.0,1364.0,1328.0,2356.0,635.0,586.0,447.0,0.5702382591929487,14522.0,14522.0
