,Bath,Bedroom,CarPort,Closet,Dining,Entry,Garage,Kitchen,LivingRoom,Outdoor,Room,Storage,Utility,accuracy,macro avg,weighted avg
precision,0.3947633434038268,0.4375246353961372,0.08571428571428572,0.22138836772983114,0.0,0.8858695652173914,0.5555555555555556,0.8057971014492754,0.5382585751978892,0.9179389312977099,0.0,0.0,0.7142857142857143,0.4673598677868062,0.42746892886520127,0.5573780691017005
recall,0.8962048468221308,0.9257714762301918,0.10714285714285714,0.25877192982456143,0.0,0.2694214876033058,0.04032258064516129,0.40762463343108507,0.6144578313253012,0.2041595925297114,0.0,0.0,0.03355704697986577,0.4673598677868062,0.28903340634878244,0.4673598677868062
f1-score,0.5480984340044742,0.5942184154175588,0.09523809523809523,0.23862487360970677,0.0,0.41318124207858054,0.07518796992481203,0.5413826679649465,0.5738396624472574,0.3340277777777778,0.0,0.0,0.06410256410256411,0.4673598677868062,0.26753090019736725,0.4079760710747059
support,2187.0,2398.0,84.0,912.0,286.0,1815.0,124.0,1364.0,1328.0,2356.0,635.0,586.0,447.0,0.4673598677868062,14522.0,14522.0
