,Bath,Bedroom,CarPort,Closet,Dining,Entry,Garage,Kitchen,LivingRoom,Outdoor,Room,Storage,Utility,accuracy,macro avg,weighted avg
precision,0.8637744034707159,0.8007299270072993,0.7704918032786885,0.7716262975778547,0.8758389261744967,0.9174683544303798,0.6736111111111112,0.8925680647534953,0.8189910979228486,0.9630266552020637,0.37435897435897436,0.7324185248713551,0.7258566978193146,0.8511912959647432,0.7831354490752769,0.8370281790615995
recall,0.9091324200913242,0.9187604690117253,0.5,0.7185821697099892,0.87,0.9526813880126183,0.7698412698412699,0.8892961876832844,0.8720379146919431,0.9630266552020637,0.11831442463533225,0.7286689419795221,0.5393518518518519,0.8511912959647432,0.7499764379008405,0.8511912959647432
f1-score,0.88587319243604,0.8556942277691107,0.6064516129032258,0.7441601779755284,0.8729096989966555,0.9347433582667011,0.7185185185185187,0.8909291222915903,0.8446824789594491,0.9630266552020637,0.1798029556650246,0.7305389221556886,0.6188579017264276,0.8511912959647432,0.7573991402204634,0.8397289617032118
support,2190.0,2388.0,94.0,931.0,300.0,1902.0,126.0,1364.0,1266.0,2326.0,617.0,586.0,432.0,0.8511912959647432,14522.0,14522.0
