,Bath,Bedroom,CarPort,Closet,Dining,Entry,Garage,Kitchen,LivingRoom,Outdoor,Room,Storage,Utility,accuracy,macro avg,weighted avg
precision,0.8668690372940157,0.7807170205360251,0.8135593220338984,0.7867298578199052,0.8823529411764706,0.9034446764091858,0.6513157894736842,0.8892171344165436,0.8338008415147266,0.9559617781470711,0.6266666666666667,0.7867647058823529,0.7925170068027211,0.855667263462333,0.8130705213979434,0.8478422387519151
recall,0.9140374942844078,0.9353628023352794,0.5714285714285714,0.7280701754385965,0.8391608391608392,0.9537190082644628,0.7983870967741935,0.8826979472140762,0.8953313253012049,0.9766553480475382,0.07401574803149606,0.7303754266211604,0.5212527964205816,0.855667263462333,0.7554226599478775,0.855667263462333
f1-score,0.8898286223013577,0.8510719028647316,0.6713286713286714,0.7562642369020501,0.8602150537634408,0.9279013669257572,0.7173913043478262,0.8859455481972037,0.8634713144517066,0.9661977745118623,0.13239436619718312,0.7575221238938052,0.6288798920377867,0.855667263462333,0.7621855521325678,0.8396032577837329
support,2187.0,2398.0,84.0,912.0,286.0,1815.0,124.0,1364.0,1328.0,2356.0,635.0,586.0,447.0,0.855667263462333,14522.0,14522.0
