,Bath,Bedroom,CarPort,Closet,Dining,Entry,Garage,Kitchen,LivingRoom,Outdoor,Room,Storage,Utility,accuracy,macro avg,weighted avg
precision,0.942167577413479,0.789016336461592,0.7407407407407407,0.8230683090705487,0.76953125,0.8999478895257946,0.7096774193548387,0.9685157421289355,0.7708198837959974,0.9456748850814877,0.43103448275862066,0.7117988394584139,0.8522727272727273,0.8654455309186062,0.796482006389475,0.8505326247406871
recall,0.9460448102423411,0.9466221851542952,0.47619047619047616,0.805921052631579,0.6888111888111889,0.9515151515151515,0.7096774193548387,0.9472140762463344,0.8990963855421686,0.9605263157894737,0.03937007874015748,0.6279863481228669,0.6711409395973155,0.8654455309186062,0.7438551098413991,0.8654455309186062
f1-score,0.9441022130960529,0.8606635071090047,0.5797101449275363,0.8144044321329641,0.7269372693726939,0.9250133904659882,0.7096774193548389,0.9577464788732394,0.8300312825860271,0.9530427458412297,0.07215007215007216,0.6672710788757934,0.7509386733416771,0.8654455309186062,0.7532068237020859,0.8484630678820766
support,2187.0,2398.0,84.0,912.0,286.0,1815.0,124.0,1364.0,1328.0,2356.0,635.0,586.0,447.0,0.8654455309186062,14522.0,14522.0
