,Bath,Bedroom,CarPort,Closet,Dining,Entry,Garage,Kitchen,LivingRoom,Outdoor,Room,Storage,Utility,accuracy,macro avg,weighted avg
precision,0.9262295081967213,0.5068637803590285,0.0,0.3939393939393939,0.45098039215686275,0.5413687436159347,0.0,0.9577151335311572,0.7084233261339092,0.3737536185268575,0.0,0.0,0.732824427480916,0.5695496488087041,0.43016140953390625,0.5624023090755589
recall,0.9300411522633745,0.6005004170141784,0.0,0.01425438596491228,0.08041958041958042,0.29201101928374656,0.0,0.9464809384164223,0.2469879518072289,0.9864176570458404,0.0,0.0,0.6442953020134228,0.5695496488087041,0.36472372340220827,0.5695496488087041
f1-score,0.9281314168377823,0.549723229623974,0.0,0.02751322751322751,0.1364985163204748,0.3793843951324266,0.0,0.9520648967551621,0.3662758235622557,0.5421040354560299,0.0,0.0,0.6857142857142857,0.5695496488087041,0.35133921745504754,0.5143585756576919
support,2187.0,2398.0,84.0,912.0,286.0,1815.0,124.0,1364.0,1328.0,2356.0,635.0,586.0,447.0,0.5695496488087041,14522.0,14522.0
