,Bath,Bedroom,CarPort,Closet,Dining,Entry,Garage,Kitchen,LivingRoom,Outdoor,Room,Storage,Utility,accuracy,macro avg,weighted avg
precision,0.7846746575342466,0.748553929908132,0.7692307692307693,0.6415694591728526,0.7230215827338129,0.8655772272008434,0.7280701754385965,0.8568298027757487,0.7712729748127978,0.9464210966931771,0.4,0.7224409448818898,0.6878612716763006,0.8042280677592618,0.7419633763122436,0.7875285030023857
recall,0.8381344307270233,0.9174311926605505,0.47619047619047616,0.6633771929824561,0.7027972027972028,0.9046831955922865,0.6693548387096774,0.8599706744868035,0.8531626506024096,0.9596774193548387,0.03464566929133858,0.6262798634812287,0.2662192393736018,0.8042280677592618,0.6747633881730687,0.8042280677592618
f1-score,0.8105239885032058,0.8244332021735058,0.588235294117647,0.6522911051212938,0.7127659574468085,0.884698275862069,0.6974789915966387,0.858397365532382,0.8101537361458705,0.9530031612223393,0.06376811594202898,0.6709323583180987,0.3838709677419355,0.8042280677592618,0.6854271169018327,0.7841369589538948
support,2187.0,2398.0,84.0,912.0,286.0,1815.0,124.0,1364.0,1328.0,2356.0,635.0,586.0,447.0,0.8042280677592618,14522.0,14522.0
