,Bath,Bedroom,CarPort,Closet,Dining,Entry,Garage,Kitchen,LivingRoom,Outdoor,Room,Storage,Utility,accuracy,macro avg,weighted avg
precision,0.9542572463768116,0.8123456790123457,0.7966101694915254,0.8978185993111366,0.894927536231884,0.9167974882260597,0.6490066225165563,0.9686333084391336,0.8318703578663066,0.9551495016611296,0.6153846153846154,0.7693693693693694,0.8815426997245179,0.8918881696735986,0.8418240918162609,0.8836968773212371
recall,0.9634202103337905,0.9603836530442035,0.5595238095238095,0.8574561403508771,0.8636363636363636,0.9652892561983472,0.7903225806451613,0.9508797653958945,0.927710843373494,0.9762308998302207,0.06299212598425197,0.7286689419795221,0.7158836689038032,0.8918881696735986,0.7940306353230568,0.8918881696735986
f1-score,0.9588168373151309,0.8801834511752341,0.6573426573426574,0.8771733034212,0.8790035587188613,0.9404186795491144,0.7127272727272727,0.9596744358120607,0.8771804912780349,0.9655751469353485,0.11428571428571428,0.7484662576687117,0.7901234567901234,0.8918881696735986,0.7969977894630357,0.8760906753788584
support,2187.0,2398.0,84.0,912.0,286.0,1815.0,124.0,1364.0,1328.0,2356.0,635.0,586.0,447.0,0.8918881696735986,14522.0,14522.0
