,Bath,Bedroom,CarPort,Closet,Dining,Entry,Garage,Kitchen,LivingRoom,Outdoor,Room,Storage,Utility,accuracy,macro avg,weighted avg
precision,0.8709953011533532,0.7991422444603288,0.7692307692307693,0.7729411764705882,0.8676470588235294,0.9109071274298056,0.8102189781021898,0.890625,0.855225988700565,0.9643605870020965,0.44878048780487806,0.7847619047619048,0.7420289855072464,0.858972593306707,0.8066819699574812,0.8467198409124354
recall,0.9184684684684684,0.9266473269788645,0.449438202247191,0.723568281938326,0.8740740740740741,0.9450980392156862,0.7928571428571428,0.8912881608339538,0.8852339181286549,0.9749894022891056,0.14838709677419354,0.7423423423423423,0.5663716814159292,0.858972593306707,0.7568280105818409,0.858972593306707
f1-score,0.8941021705766279,0.8581846094799462,0.5673758865248226,0.7474402730375426,0.8708487084870848,0.9276876546604345,0.8014440433212997,0.8909564570152586,0.8699712643678161,0.9696458684654301,0.22303030303030302,0.762962962962963,0.6424090338770388,0.858972593306707,0.7712353258312744,0.847975087100376
support,2220.0,2413.0,89.0,908.0,270.0,1785.0,140.0,1343.0,1368.0,2359.0,620.0,555.0,452.0,0.858972593306707,14522.0,14522.0
