,Bath,Bedroom,CarPort,Closet,Dining,Entry,Garage,Kitchen,LivingRoom,Outdoor,Room,Storage,Utility,accuracy,macro avg,weighted avg
precision,0.7865560890440856,0.7704918032786885,0.7758620689655172,0.6084598698481561,0.7680608365019012,0.8639528655597215,0.6694915254237288,0.8712065136935603,0.7779282329045363,0.9587585034013606,0.327683615819209,0.691470054446461,0.6020761245674741,0.8027819859523482,0.7286152387272616,0.7868947139196475
recall,0.8190909090909091,0.9087852038671711,0.5056179775280899,0.6151315789473685,0.6917808219178082,0.8901766004415012,0.6929824561403509,0.863536316947909,0.8561847988077497,0.9579439252336449,0.0943089430894309,0.6580310880829016,0.36942675159235666,0.8027819859523482,0.6863844132067071,0.8027819859523482
f1-score,0.8024938766421732,0.8339440694310511,0.6122448979591837,0.6117775354416576,0.7279279279279279,0.8768687143245446,0.6810344827586207,0.8673544583640382,0.815182688896772,0.9583510412239694,0.1464646464646465,0.6743362831858407,0.4578947368421052,0.8027819859523482,0.6973750276509638,0.7897859735063898
support,2200.0,2379.0,89.0,912.0,292.0,1812.0,114.0,1363.0,1342.0,2354.0,615.0,579.0,471.0,0.8027819859523482,14522.0,14522.0
