,Bath,Bedroom,CarPort,Closet,Dining,Entry,Garage,Kitchen,LivingRoom,Outdoor,Room,Storage,Utility,accuracy,macro avg,weighted avg
precision,0.9663023679417122,0.8129470672389127,0.8333333333333334,0.8740740740740741,0.8834586466165414,0.9303211758301578,0.8383838383838383,0.9752300070771408,0.8444288717589348,0.9680345572354212,0.4088669950738916,0.7260726072607261,0.8547945205479452,0.8918881696735986,0.839711389413279,0.8795498451571512
recall,0.9597467209407508,0.9522413070800168,0.5769230769230769,0.8658280922431866,0.8671586715867159,0.9660825325042397,0.7033898305084746,0.9536332179930795,0.920550038197097,0.9697100822154912,0.12749615975422426,0.7534246575342466,0.7188940092165899,0.8918881696735986,0.7950060305151683,0.8918881696735986
f1-score,0.9630133877921488,0.8770982056723906,0.6818181818181818,0.8699315429173249,0.8752327746741155,0.9478646699944536,0.7649769585253456,0.9643107067879636,0.8808479532163742,0.9688715953307394,0.19437939110070257,0.7394957983193278,0.7809762202753442,0.8918881696735986,0.8083705681864933,0.8809428384546873
support,2211.0,2387.0,78.0,954.0,271.0,1769.0,118.0,1445.0,1309.0,2311.0,651.0,584.0,434.0,0.8918881696735986,14522.0,14522.0
