,Bath,Bedroom,CarPort,Closet,Dining,Entry,Garage,Kitchen,LivingRoom,Outdoor,Room,Storage,Utility,accuracy,macro avg,weighted avg
precision,0.8002651347768449,0.7619377162629758,0.7142857142857143,0.6185997910135841,0.7231833910034602,0.8672936259143156,0.6403508771929824,0.8771535580524344,0.7879616963064295,0.9528817837610434,0.26744186046511625,0.6925858951175407,0.7168949771689498,0.8086351742184272,0.7246796939477994,0.788170667369618
recall,0.8280749885688158,0.9182652210175146,0.5357142857142857,0.6491228070175439,0.7307692307692307,0.9146005509641874,0.5887096774193549,0.8585043988269795,0.8674698795180723,0.9613752122241087,0.03622047244094488,0.6535836177474402,0.3512304250559284,0.8086351742184272,0.6841262128680312,0.8086351742184272
f1-score,0.813932584269663,0.8328290468986385,0.6122448979591837,0.633493846976993,0.7269565217391305,0.8903191204076161,0.6134453781512604,0.867728788440163,0.8258064516129032,0.95710965560955,0.06380027739251039,0.6725197541703248,0.47147147147147145,0.8086351742184272,0.6908967534691851,0.7909954865312262
support,2187.0,2398.0,84.0,912.0,286.0,1815.0,124.0,1364.0,1328.0,2356.0,635.0,586.0,447.0,0.8086351742184272,14522.0,14522.0
