,Bath,Bedroom,CarPort,Closet,Dining,Entry,Garage,Kitchen,LivingRoom,Outdoor,Room,Storage,Utility,accuracy,macro avg,weighted avg
precision,0.8719753629564452,0.7993573723670118,0.7704918032786885,0.7734553775743707,0.8701754385964913,0.9145569620253164,0.664179104477612,0.9019461077844312,0.8422174840085288,0.9659806803863923,0.4722222222222222,0.7424242424242424,0.78,0.858352843960887,0.7976140121616732,0.8465281981791899
recall,0.9062642889803384,0.9336947456213511,0.5595238095238095,0.7412280701754386,0.8671328671328671,0.9553719008264463,0.717741935483871,0.8834310850439883,0.8923192771084337,0.9762308998302207,0.13385826771653545,0.7525597269624573,0.5234899328859061,0.858352843960887,0.7571420620993587,0.858352843960887
f1-score,0.8887892376681614,0.8613194845162531,0.6482758620689655,0.7569988801791713,0.8686514886164622,0.9345189975747776,0.689922480620155,0.8925925925925926,0.8665447897623401,0.9710787418197172,0.20858895705521474,0.747457627118644,0.6265060240963854,0.858352843960887,0.7662496279760647,0.8463601896809998
support,2187.0,2398.0,84.0,912.0,286.0,1815.0,124.0,1364.0,1328.0,2356.0,635.0,586.0,447.0,0.858352843960887,14522.0,14522.0
