,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_max_depth,param_subsample,params,split0_test_f1_macro,split1_test_f1_macro,split2_test_f1_macro,split3_test_f1_macro,split4_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro,split0_train_f1_macro,split1_train_f1_macro,split2_train_f1_macro,split3_train_f1_macro,split4_train_f1_macro,mean_train_f1_macro,std_train_f1_macro,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,mean_train_accuracy,std_train_accuracy
0,59.01530928611756,4.784068318118248,0.25142416954040525,0.026327310480923887,0.6,5,0.6,"{'colsample_bytree': 0.6, 'max_depth': 5, 'subsample': 0.6}",0.691344104639838,0.671011545048552,0.6879918371657883,0.6755363843485144,0.6997017404438381,0.6851171223293061,0.010492933148680742,27,0.7815646777290481,0.7869852667585343,0.7734678564060607,0.7520654712224665,0.7685187092200281,0.7725203962672275,0.012052772660397311,0.8070822574695684,0.7965320051650987,0.8129496402877698,0.8016971038553773,0.7970854085961999,0.8030692830748029,0.006231389158180983,47,0.8505810736026563,0.8549227576665898,0.845930366612866,0.8362001383444777,0.8456536776573669,0.8466576027767914,0.00623861697991485
1,60.37183132171631,7.829094126892862,0.24709930419921874,0.035469628027242205,0.6,5,0.8,"{'colsample_bytree': 0.6, 'max_depth': 5, 'subsample': 0.8}",0.687412769827885,0.6605169086108561,0.6890794337754086,0.6751935881941525,0.7015994850983892,0.6827604371013384,0.013917725462816605,48,0.7900183970920316,0.7635493291784302,0.7903893818239164,0.7499067737975513,0.7788400861811487,0.7745407936146156,0.015728096496424464,0.8078199926226485,0.793027116768124,0.8129496402877698,0.801143700424276,0.7987456188895038,0.8027372137984644,0.0069697402319544854,55,0.8544087806677735,0.8415955729767121,0.8538621166705096,0.8335254784413189,0.851556375374683,0.8469896648261994,0.008167120194342651
2,63.135683107376096,5.705158204946628,0.2512215137481689,0.0281309274662929,0.6,5,0.9,"{'colsample_bytree': 0.6, 'max_depth': 5, 'subsample': 0.9}",0.6873766622257379,0.6678193020377781,0.6830444701125692,0.677908715830967,0.69232913944655,0.6816956579307203,0.008414965437645952,55,0.791794476122518,0.7882216008820168,0.7753205588778426,0.7735884719247395,0.7512229210757112,0.7760296057765655,0.014275919371520401,0.8070822574695684,0.7952407304925291,0.8123962368566685,0.8018815716657444,0.7972698764065671,0.8027741345782156,0.006308573195186428,54,0.8542243128574064,0.8540465759741757,0.8458842517869495,0.8447774959649528,0.8377680424256398,0.8473401358018249,0.006207735920907308
3,59.32294178009033,3.3328543413441425,0.24041967391967772,0.020541981314896027,0.6,5,,"{'colsample_bytree': 0.6, 'max_depth': 5, 'subsample': None}",0.6837517104731101,0.66111120031012,0.6819420243267804,0.6767121531294311,0.6990122787190596,0.6805058733917002,0.012211721282256843,61,0.7685089184835431,0.7691635260602632,0.7738716679394209,0.7644763337258177,0.7857483346443076,0.7723537561706706,0.007331206149011347,0.8059756547399484,0.7939494558199595,0.8096292197011622,0.801328168234643,0.7989300866998709,0.8019625170391167,0.0054532703249358435,59,0.8432484781405645,0.8448697256167857,0.8439935439243716,0.8403965875028822,0.8536315425409269,0.8452279755451062,0.004461677332120522
4,53.87579379081726,6.638568900293889,0.25460186004638674,0.04235225661836807,0.6,6,0.6,"{'colsample_bytree': 0.6, 'max_depth': 6, 'subsample': 0.6}",0.6864583584014569,0.6600940815113047,0.6854926602668263,0.6802996401980076,0.697089357079194,0.6818868194913579,0.012185735690475501,52,0.7990794890214848,0.7687235202319631,0.7999601944994669,0.7965465950780897,0.770124845893181,0.786886928944837,0.014309121479615473,0.8080044264109185,0.7946873270614278,0.8129496402877698,0.8018815716657444,0.7980077476480354,0.8031061426147792,0.0066220433576530445,45,0.8613263235565394,0.8468987779571132,0.8608715702098224,0.8601337329951579,0.8489278302974407,0.8556316470032147,0.006346007796055025
5,65.97385478019714,8.458791361181659,0.28370075225830077,0.03684354492369692,0.6,6,0.8,"{'colsample_bytree': 0.6, 'max_depth': 6, 'subsample': 0.8}",0.6916356507127867,0.6713027993691179,0.682826367342703,0.6869898771844963,0.699599515321024,0.6864708419860255,0.00940912772272254,23,0.8088887327215809,0.8321512924087224,0.8069341073256173,0.8287241791001091,0.782847591300556,0.8119091805713172,0.017725336087740455,0.8111398008115087,0.7989300866998709,0.8122117690463014,0.8059398634938203,0.7987456188895038,0.8053934277882011,0.005758078040335738,6,0.8661686035786755,0.8793175005764353,0.864560756283145,0.8769195296287756,0.853816001844593,0.8681564783823248,0.00920749275909679
6,67.96858258247376,6.9873669255886295,0.2713367462158203,0.029667418415574073,0.6,6,0.9,"{'colsample_bytree': 0.6, 'max_depth': 6, 'subsample': 0.9}",0.6874696620114255,0.6652232265077682,0.6801604412523101,0.6841687910732658,0.7019413567935193,0.6837926955276578,0.011841063186442166,39,0.8011529664238316,0.8058758790301661,0.8037356174375377,0.8301783162399293,0.8160901945901404,0.811406594744321,0.010666613692369,0.8083732939874585,0.7974543442169342,0.811473897804833,0.8059398634938203,0.8002213613724405,0.8046925521750973,0.005166691320456319,23,0.8618797269876407,0.865252478671893,0.8622089001614018,0.8772884482361079,0.8714318653447083,0.8676122838803504,0.005930342384158132
7,62.189509344100955,6.7273613402551415,0.2692152500152588,0.037017280161158156,0.6,6,,"{'colsample_bytree': 0.6, 'max_depth': 6, 'subsample': None}",0.6811028678128496,0.660411082193277,0.6906595416270002,0.6728503343239562,0.7011104201697885,0.6812268492253744,0.014055672234824783,57,0.8006744799998027,0.7980827388201498,0.823330725397709,0.8009091531914672,0.8183623686501824,0.808271893211862,0.010433940930575513,0.8063445223164883,0.7954251983028962,0.8151632540121748,0.8007747648035418,0.7998524257517063,0.8035120330373615,0.006783158624298156,37,0.8617874930824571,0.8605487664284067,0.8720313580816232,0.8610560295134886,0.8727230804703712,0.8656293455152694,0.005528004590057831
8,57.95246229171753,9.583327283940752,0.27762608528137206,0.04459440250571463,0.6,7,0.6,"{'colsample_bytree': 0.6, 'max_depth': 7, 'subsample': 0.6}",0.6904738739133957,0.6631497248427312,0.6850135105416626,0.6835064228726934,0.7000341574245456,0.6844355379190056,0.012116613202538725,34,0.8451413554327835,0.7922980311511958,0.8087087030466358,0.8219468208887591,0.8321178664349429,0.8200425553908633,0.01831722665519149,0.8118775359645887,0.7976388120273012,0.8138719793396052,0.8044641210108836,0.7991145545102379,0.8053934005705233,0.006547540325580186,10,0.8893193137797454,0.8611482591653217,0.8679271385750519,0.8760894627622781,0.8824533087387595,0.8753874966042312,0.010029225415600402
9,56.40793380737305,6.949622527618329,0.27649474143981934,0.05347334448849953,0.6,7,0.8,"{'colsample_bytree': 0.6, 'max_depth': 7, 'subsample': 0.8}",0.6914996765797821,0.658613076360334,0.6854320272944838,0.6788719433628814,0.6973022187075603,0.6823437884610083,0.013359060947293633,50,0.8226809769801893,0.8093553522550161,0.8430384051652731,0.8167751688829875,0.8134150256682958,0.8210529857903524,0.011827779191812904,0.8118775359645887,0.7957941339236303,0.8136875115292381,0.8033573141486811,0.7983766832687696,0.8046186357669814,0.007118439093903959,26,0.8753919940970301,0.8694028130043809,0.8865575282453309,0.8727230804703712,0.8712935208669588,0.8750737873368145,0.00606553786618068
