,Bath,Bedroom,CarPort,Closet,Dining,Entry,Garage,Kitchen,LivingRoom,Outdoor,Room,Storage,Utility,accuracy,macro avg,weighted avg
precision,0.8518831993228946,0.7803770949720671,0.7666666666666667,0.8064516129032258,0.9358490566037736,0.9085140137493389,0.7194244604316546,0.8929618768328446,0.8395496129486277,0.9529166666666666,0.5773195876288659,0.8198198198198198,0.8047138047138047,0.8578708166919157,0.819726728712327,0.8487001842580528
recall,0.9204389574759945,0.9320266889074229,0.5476190476190477,0.7127192982456141,0.8671328671328671,0.946556473829201,0.8064516129032258,0.8929618768328446,0.8983433734939759,0.9707130730050934,0.08818897637795275,0.7764505119453925,0.5346756152125279,0.8578708166919157,0.7610983363831662,0.8578708166919157
f1-score,0.8848351648351648,0.8494868871151655,0.6388888888888888,0.7566938300349243,0.9001814882032668,0.9271451699946033,0.7604562737642585,0.8929618768328446,0.8679519825391051,0.9617325483599664,0.15300546448087432,0.7975460122699387,0.64247311827957,0.8578708166919157,0.7717968235075823,0.8427682482662731
support,2187.0,2398.0,84.0,912.0,286.0,1815.0,124.0,1364.0,1328.0,2356.0,635.0,586.0,447.0,0.8578708166919157,14522.0,14522.0
