,Bath,Bedroom,CarPort,Closet,Dining,Entry,Garage,Kitchen,LivingRoom,Outdoor,Room,Storage,Utility,accuracy,macro avg,weighted avg
precision,0.7829588808817295,0.7597061909758657,0.7346938775510204,0.6493212669683258,0.737037037037037,0.8712765957446809,0.6984126984126984,0.8510334996436208,0.7747440273037542,0.9452569995821145,0.3333333333333333,0.6924528301886792,0.6298076923076923,0.803952623605564,0.7276949946100425,0.783805805296636
recall,0.84453589391861,0.9057547956630525,0.42857142857142855,0.6293859649122807,0.6958041958041958,0.9024793388429752,0.7096774193548387,0.875366568914956,0.8546686746987951,0.9601018675721562,0.050393700787401574,0.6262798634812287,0.2930648769574944,0.803952623605564,0.6750834299599547,0.803952623605564
f1-score,0.8125824901011879,0.8263268023587598,0.5413533834586467,0.6391982182628062,0.7158273381294965,0.8866035182679296,0.704,0.8630285507770148,0.8127461510920158,0.9526216045483259,0.08755129958960328,0.6577060931899641,0.39999999999999997,0.803952623605564,0.6845804192135193,0.7856331923708688
support,2187.0,2398.0,84.0,912.0,286.0,1815.0,124.0,1364.0,1328.0,2356.0,635.0,586.0,447.0,0.803952623605564,14522.0,14522.0
