,Bath,Bedroom,CarPort,Closet,Dining,Entry,Garage,Kitchen,LivingRoom,Outdoor,Room,Storage,Utility,accuracy,macro avg,weighted avg
precision,0.38788659793814434,0.43958868894601544,0.109375,0.1984179301252472,1.0,0.8888888888888888,0.75,0.7937411095305832,0.5478654592496766,0.8985507246376812,1.0,0.0,0.8,0.4555157691777992,0.6011011076397105,0.6200752900372186
recall,0.8257887517146777,0.927022518765638,0.08333333333333333,0.3300438596491228,0.0034965034965034965,0.26887052341597795,0.024193548387096774,0.4090909090909091,0.6378012048192772,0.15789473684210525,0.0015748031496062992,0.0,0.017897091722595078,0.4555157691777992,0.28361598341437255,0.4555157691777992
f1-score,0.5278386672512057,0.5963782696177062,0.09459459459459459,0.24783861671469742,0.006968641114982578,0.4128595600676819,0.04687499999999999,0.5399129172714079,0.5894224077940153,0.26859205776173284,0.003144654088050314,0.0,0.0350109409190372,0.4555157691777992,0.2591874097842393,0.3956247392800675
support,2187.0,2398.0,84.0,912.0,286.0,1815.0,124.0,1364.0,1328.0,2356.0,635.0,586.0,447.0,0.4555157691777992,14522.0,14522.0
